"RDD060.Code.or.Value","RDD060.Value.Description","RDD060.Count","RDD060.Cumulative","RDD060.Skip.to.Item"
"1 to 60","Range of Values",554,554,NA
"70","70 or more",3,557,NA
"77777","Refused",0,557,NA
"99999","Don't know",5,562,NA
".","Missing",9083,9645,NA
