"LBXVCF.Code.or.Value","LBXVCF.Value.Description","LBXVCF.Count","LBXVCF.Cumulative","LBXVCF.Skip.to.Item"
"0.0057 to 0.687","Range of Values",3115,3115,NA
".","Missing",332,3447,NA
