"WBXF051.Code.or.Value","WBXF051.Value.Description","WBXF051.Count","WBXF051.Cumulative","WBXF051.Skip.to.Item"
"1587.4011 to 1587.4011","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
