"FSD670ZW.Code.or.Value","FSD670ZW.Value.Description","FSD670ZW.Count","FSD670ZW.Cumulative","FSD670ZW.Skip.to.Item"
"1 to 60","Range of Values",71,71,NA
"777","Refused",0,71,NA
"999","Don't know",1,72,NA
".","Missing",10077,10149,NA
