"BAXPFC12.Code.or.Value","BAXPFC12.Value.Description","BAXPFC12.Count","BAXPFC12.Cumulative","BAXPFC12.Skip.to.Item"
"1","Pass",3,3,"BAXPFC21"
"2","Dnp(did not pass)",1,4,""
".","Missing",1007,1011,""
