"VIXKRCG.Code.or.Value","VIXKRCG.Value.Description","VIXKRCG.Count","VIXKRCG.Cumulative","VIXKRCG.Skip.to.Item"
"0 to 179","Range of Values",6441,6441,NA
"888","Could not obtain",51,6492,NA
".","Missing",498,6990,NA
