"DRD350I.Code.or.Value","DRD350I.Value.Description","DRD350I.Count","DRD350I.Cumulative","DRD350I.Skip.to.Item"
"1","Yes",47,47,""
"2","No",1172,1219,"DRD350J"
".","Missing",8424,9643,""
