"AUDTYR31.Code.or.Value","AUDTYR31.Value.Description","AUDTYR31.Count","AUDTYR31.Cumulative","AUDTYR31.Skip.to.Item"
"0 to 1.72","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
