"DR2TACAR.Code.or.Value","DR2TACAR.Value.Description","DR2TACAR.Count","DR2TACAR.Cumulative","DR2TACAR.Skip.to.Item"
"0 to 48111","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
