"MCQ160B.Code.or.Value","MCQ160B.Value.Description","MCQ160B.Count","MCQ160B.Cumulative","MCQ160B.Skip.to.Item"
"1","Yes",167,167,"MCQ180B"
"2","No",4689,4856,""
"7","Refused",1,4857,""
"9","Don't know",23,4880,""
".","Missing",4613,9493,""
