"DR1TS040.Code.or.Value","DR1TS040.Value.Description","DR1TS040.Count","DR1TS040.Cumulative","DR1TS040.Skip.to.Item"
"0 to 5.475","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
