"DRD370B.Code.or.Value","DRD370B.Value.Description","DRD370B.Count","DRD370B.Cumulative","DRD370B.Skip.to.Item"
"1","Yes",2490,2490,""
"2","No",3081,5571,"DRD370C"
".","Missing",4379,9950,""
