"DS1TVB6.Code.or.Value","DS1TVB6.Value.Description","DS1TVB6.Count","DS1TVB6.Cumulative","DS1TVB6.Skip.to.Item"
"0.003 to 10010","Range of Values",1702,1702,NA
".","Missing",8111,9813,NA
