"WBXP020.Code.or.Value","WBXP020.Value.Description","WBXP020.Count","WBXP020.Cumulative","WBXP020.Skip.to.Item"
"-19.1835 to 152.8848","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
