"ACD040.Code.or.Value","ACD040.Value.Description","ACD040.Count","ACD040.Cumulative","ACD040.Skip.to.Item"
"1","Only Spanish,",548,548,NA
"2","More Spanish than English",321,869,NA
"3","Both equally",444,1313,NA
"4","More English than Spanish",483,1796,NA
"5","Only English",573,2369,NA
"7","Refused",1,2370,NA
"9","Don't know",4,2374,NA
".","Missing",6856,9230,NA
