"WTSHM48.Code.or.Value","WTSHM48.Value.Description","WTSHM48.Count","WTSHM48.Cumulative","WTSHM48.Skip.to.Item"
"0.0000000 to 740844.9772900","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
