"MCQ250F.Code.or.Value","MCQ250F.Value.Description","MCQ250F.Count","MCQ250F.Cumulative","MCQ250F.Skip.to.Item"
"1","Yes",1249,1249,"MCQ260FA"
"2","No",3417,4666,""
"7","Refused",2,4668,""
"9","Don't know",212,4880,""
".","Missing",4613,9493,""
