"URXUAS5.Code.or.Value","URXUAS5.Value.Description","URXUAS5.Count","URXUAS5.Cumulative","URXUAS5.Skip.to.Item"
"0.71 to 21.8","Range of Values",2852,2852,NA
".","Missing",89,2941,NA
