"DXXVFATM.Code.or.Value","DXXVFATM.Value.Description","DXXVFATM.Count","DXXVFATM.Cumulative","DXXVFATM.Skip.to.Item"
"0 to 1814.26","Range of Values",5095,5095,NA
".","Missing",685,5780,NA
