"DS1TPOTA.Code.or.Value","DS1TPOTA.Value.Description","DS1TPOTA.Count","DS1TPOTA.Cumulative","DS1TPOTA.Skip.to.Item"
"0.04 to 3900","Range of Values",661,661,NA
".","Missing",8883,9544,NA
