"CVDEXCL2.Code.or.Value","CVDEXCL2.Value.Description","CVDEXCL2.Count","CVDEXCL2.Cumulative","CVDEXCL2.Skip.to.Item"
"1","Yes",336,336,NA
"2","No",537,873,NA
".","Missing",3790,4663,NA
