"DS1TVB12.Code.or.Value","DS1TVB12.Value.Description","DS1TVB12.Count","DS1TVB12.Cumulative","DS1TVB12.Skip.to.Item"
"0 to 5025","Range of Values",1862,1862,NA
".","Missing",7900,9762,NA
