"DMDBORN.Code.or.Value","DMDBORN.Value.Description","DMDBORN.Count","DMDBORN.Cumulative","DMDBORN.Skip.to.Item"
"1","Born in 50 US States or Washington, DC",8794,8794,NA
"2","Born in Mexico",961,9755,NA
"3","Born Elsewhere",588,10343,NA
"7","Refused",5,10348,NA
".","Missing",0,10348,NA
