"CVDEXCL2.Code.or.Value","CVDEXCL2.Value.Description","CVDEXCL2.Count","CVDEXCL2.Cumulative","CVDEXCL2.Skip.to.Item"
"1","Yes",380,380,NA
"2","No",574,954,NA
".","Missing",4198,5152,NA
