"RFXC126.Code.or.Value","RFXC126.Value.Description","RFXC126.Count","RFXC126.Cumulative","RFXC126.Skip.to.Item"
"-5.858 to 6.539","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
