"AUXU3KR.Code.or.Value","AUXU3KR.Value.Description","AUXU3KR.Count","AUXU3KR.Cumulative","AUXU3KR.Skip.to.Item"
"-10 to 120","Range of Values",3847,3847,NA
"666","No response",1,3848,NA
"888","Could not obtain",20,3868,NA
".","Missing",632,4500,NA
