"URXEPB.Code.or.Value","URXEPB.Value.Description","URXEPB.Count","URXEPB.Cumulative","URXEPB.Skip.to.Item"
"0.71 to 1980.6","Range of Values",2686,2686,NA
".","Missing",91,2777,NA
