"SSAFB.Code.or.Value","SSAFB.Value.Description","SSAFB.Count","SSAFB.Cumulative","SSAFB.Skip.to.Item"
"0.01 to 0.2","Range of Values",1883,1883,NA
".","Missing",11,1894,NA
