"OHD04LAM.Code.or.Value","OHD04LAM.Value.Description","OHD04LAM.Count","OHD04LAM.Cumulative","OHD04LAM.Skip.to.Item"
"0 to 9","Range of Values",2341,2341,NA
"99","Calculation cannot be determined",460,2801,NA
".","Missing",4329,7130,NA
