"BPQ056.Code.or.Value","BPQ056.Value.Description","BPQ056.Count","BPQ056.Cumulative","BPQ056.Skip.to.Item"
"1","Yes",1481,1481,""
"2","No",4690,6171,"BPQ059"
"7","Refused",1,6172,"BPQ059"
"9","Don't know",2,6174,"BPQ059"
".","Missing",1,6175,""
