"DXAFMRK.Code.or.Value","DXAFMRK.Value.Description","DXAFMRK.Count","DXAFMRK.Cumulative","DXAFMRK.Skip.to.Item"
"1.1207 to 1.1738","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
