"BAXFTC31.Code.or.Value","BAXFTC31.Value.Description","BAXFTC31.Count","BAXFTC31.Cumulative","BAXFTC31.Skip.to.Item"
"1 to 28","Range of Values",17,17,NA
".","Missing",994,1011,NA
