"DSQIPROT.Code.or.Value","DSQIPROT.Value.Description","DSQIPROT.Count","DSQIPROT.Cumulative","DSQIPROT.Skip.to.Item"
"0.08 to 72","Range of Values",187,187,NA
".","Missing",8082,8269,NA
