"DR1IZINC.Code.or.Value","DR1IZINC.Value.Description","DR1IZINC.Count","DR1IZINC.Cumulative","DR1IZINC.Skip.to.Item"
"0 to 91.61","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
