"MCQ160d.Code.or.Value","MCQ160d.Value.Description","MCQ160d.Count","MCQ160d.Cumulative","MCQ160d.Skip.to.Item"
"1","Yes",136,136,NA
"2","No",5625,5761,NA
"7","Refused",0,5761,NA
"9","Don't know",8,5769,NA
".","Missing",4001,9770,NA
