"SSQ051.Code.or.Value","SSQ051.Value.Description","SSQ051.Count","SSQ051.Cumulative","SSQ051.Skip.to.Item"
"1","Yes",2250,2250,NA
"2","No",709,2959,NA
"3","Offered help but wouldn't accept it",60,3019,NA
"7","Refused",6,3025,NA
"9","Don't know",30,3055,NA
".","Missing",1,3056,NA
