"SSNUC.Code.or.Value","SSNUC.Value.Description","SSNUC.Count","SSNUC.Cumulative","SSNUC.Skip.to.Item"
"0 to 4","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
