"PAXHOUR.Code.or.Value","PAXHOUR.Value.Description","PAXHOUR.Count","PAXHOUR.Cumulative","PAXHOUR.Skip.to.Item"
"0 to 23","Range of Values",72250027,72250027,NA
".","Missing",0,72250027,NA
