"OHD25LAM.Code.or.Value","OHD25LAM.Value.Description","OHD25LAM.Count","OHD25LAM.Cumulative","OHD25LAM.Skip.to.Item"
"0 to 9","Range of Values",1588,1588,NA
"99","Calculation cannot be determined",196,1784,NA
".","Missing",4974,6758,NA
