"ARQ024G.Code.or.Value","ARQ024G.Value.Description","ARQ024G.Count","ARQ024G.Cumulative","ARQ024G.Skip.to.Item"
"1","Yes",50,50,NA
"2","No",29,79,NA
"7","Refused",0,79,NA
"9","Don't know",0,79,NA
".","Missing",5027,5106,NA
