"BPQ050E.Code.or.Value","BPQ050E.Value.Description","BPQ050E.Count","BPQ050E.Cumulative","BPQ050E.Skip.to.Item"
"1","Yes",284,284,NA
"2","No",77,361,NA
"7","Refused",0,361,NA
"9","Don't know",0,361,NA
".","Missing",6273,6634,NA
