"DXXRLLI.Code.or.Value","DXXRLLI.Value.Description","DXXRLLI.Count","DXXRLLI.Cumulative","DXXRLLI.Skip.to.Item"
"1551.5 to 19730.7","Range of Values",4861,4861,NA
".","Missing",919,5780,NA
