"WTMREP49.Code.or.Value","WTMREP49.Value.Description","WTMREP49.Count","WTMREP49.Cumulative","WTMREP49.Skip.to.Item"
"0 to 261134.18335","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
