"MCQ160C.Code.or.Value","MCQ160C.Value.Description","MCQ160C.Count","MCQ160C.Cumulative","MCQ160C.Skip.to.Item"
"1","Yes",203,203,"MCQ180C"
"2","No",4644,4847,""
"7","Refused",2,4849,""
"9","Don't know",31,4880,""
".","Missing",4613,9493,""
