"AUXU4KL.Code.or.Value","AUXU4KL.Value.Description","AUXU4KL.Count","AUXU4KL.Cumulative","AUXU4KL.Skip.to.Item"
"-10 to 120","Range of Values",2178,2178,NA
"666","No response",6,2184,NA
"888","Could not obtain",18,2202,NA
".","Missing",166,2368,NA
