"DR1TATOC.Code.or.Value","DR1TATOC.Value.Description","DR1TATOC.Count","DR1TATOC.Cumulative","DR1TATOC.Skip.to.Item"
"0 to 124.4","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
