"DR1IVB2.Code.or.Value","DR1IVB2.Value.Description","DR1IVB2.Count","DR1IVB2.Cumulative","DR1IVB2.Skip.to.Item"
"0 to 12.319","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
