"HUD080.Code.or.Value","HUD080.Value.Description","HUD080.Count","HUD080.Cumulative","HUD080.Skip.to.Item"
"1 to 5","Range of Values",1070,1070,NA
"6","6 times or more",18,1088,NA
"77777","Refused",0,1088,NA
"99999","Don't know",0,1088,NA
".","Missing",9449,10537,NA
