"URDAAMLC.Code.or.Value","URDAAMLC.Value.Description","URDAAMLC.Count","URDAAMLC.Cumulative","URDAAMLC.Skip.to.Item"
"0","At or above the detection limit",2363,2363,NA
"1","Below lower detection limit",3,2366,NA
".","Missing",239,2605,NA
