"DSQISUGR.Code.or.Value","DSQISUGR.Value.Description","DSQISUGR.Count","DSQISUGR.Cumulative","DSQISUGR.Skip.to.Item"
"0.08 to 32","Range of Values",1296,1296,NA
".","Missing",6973,8269,NA
