"ALQ140U.Code.or.Value","ALQ140U.Value.Description","ALQ140U.Count","ALQ140U.Cumulative","ALQ140U.Skip.to.Item"
"1","Week",183,183,NA
"2","Month",123,306,NA
"3","Year",673,979,NA
"7","Refused",0,979,NA
"9","Don't know",0,979,NA
".","Missing",3465,4444,NA
