"DXXVATV.Code.or.Value","DXXVATV.Value.Description","DXXVATV.Count","DXXVATV.Cumulative","DXXVATV.Skip.to.Item"
"0","Valid",5095,5095,NA
"1","Invalid",20,5115,NA
".","Missing",665,5780,NA
