"OPXDCOMP.Code.or.Value","OPXDCOMP.Value.Description","OPXDCOMP.Count","OPXDCOMP.Cumulative","OPXDCOMP.Skip.to.Item"
"0","No photos",28,28,NA
"1","Incomplete",91,119,NA
"2","Complete",2385,2504,NA
".","Missing",430,2934,NA
