"FSQ162.Code.or.Value","FSQ162.Value.Description","FSQ162.Count","FSQ162.Cumulative","FSQ162.Skip.to.Item"
"1","Yes",1674,1674,NA
"2","No",6162,7836,NA
"7","Refused",3,7839,NA
"9","Don't know",19,7858,NA
".","Missing",1898,9756,NA
