"DR2IP182.Code.or.Value","DR2IP182.Value.Description","DR2IP182.Count","DR2IP182.Cumulative","DR2IP182.Skip.to.Item"
"0 to 70.365","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
