"DXXHEBMD.Code.or.Value","DXXHEBMD.Value.Description","DXXHEBMD.Count","DXXHEBMD.Cumulative","DXXHEBMD.Skip.to.Item"
"0.989 to 3.773","Range of Values",4979,4979,NA
".","Missing",801,5780,NA
