"LBCBHC.Code.or.Value","LBCBHC.Value.Description","LBCBHC.Count","LBCBHC.Cumulative","LBCBHC.Skip.to.Item"
"3.465 to 4801","Range of Values",295,295,NA
".","Missing",6,301,NA
