"LBC178LA.Code.or.Value","LBC178LA.Value.Description","LBC178LA.Count","LBC178LA.Cumulative","LBC178LA.Skip.to.Item"
"0.1202 to 11.75","Range of Values",280,280,NA
".","Missing",21,301,NA
