"CSQ220.Code.or.Value","CSQ220.Value.Description","CSQ220.Count","CSQ220.Cumulative","CSQ220.Skip.to.Item"
"1","Yes",1014,1014,NA
"2","No",2770,3784,NA
"7","Refused",0,3784,NA
"9","Don't know",31,3815,NA
".","Missing",0,3815,NA
