"RDD040.Code.or.Value","RDD040.Value.Description","RDD040.Count","RDD040.Cumulative","RDD040.Skip.to.Item"
"1 to 65","Range of Values",337,337,NA
"70","70 or more",2,339,NA
"77777","Refused",0,339,NA
"99999","Don't know",14,353,NA
".","Missing",9469,9822,NA
