"DR1TP182.Code.or.Value","DR1TP182.Value.Description","DR1TP182.Count","DR1TP182.Cumulative","DR1TP182.Skip.to.Item"
"0.056 to 122.589","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
