"DBD381.Code.or.Value","DBD381.Value.Description","DBD381.Count","DBD381.Cumulative","DBD381.Skip.to.Item"
"1 to 5","Range of Values",2088,2088,""
"0","None",317,2405,"DBQ400"
"7777","Refused",0,2405,"DBQ400"
"9999","Don't know",5,2410,"DBQ400"
".","Missing",8127,10537,""
