"LBXVIA.Code.or.Value","LBXVIA.Value.Description","LBXVIA.Count","LBXVIA.Cumulative","LBXVIA.Skip.to.Item"
"3.5 to 211","Range of Values",6812,6812,NA
".","Missing",623,7435,NA
