"URDTTCLC.Code.or.Value","URDTTCLC.Value.Description","URDTTCLC.Count","URDTTCLC.Cumulative","URDTTCLC.Skip.to.Item"
"0","At or above the detection limit",948,948,NA
"1","Below lower detection limit",1556,2504,NA
".","Missing",101,2605,NA
